Lat,Long,Elevation,Prom,Name,Lat_dec,Long_dec,Icon
45°49'57",06°51'52",4808,4695,MONT BLANC,45.83250,6.86444,
47°04'27",12°41'40",3798,2428,GROSSGLOCKNER,47.07416,12.69444,
46°32'14",08°07'34",4274,2279,FINSTERAARHORN,46.53722,8.12611,
46°53'07",10°52'02",3768,2261,WILDSPITZE,46.88527,10.86722,
46°22'56",09°54'29",4049,2234,PIZ BERNINA,46.38222,9.90805,
47°25'13",13°03'45",2941,2181,HOCHKONIG,47.42027,13.06250,
45°56'13",07°52'01",4634,2165,MONTE ROSA,45.93694,7.86694,
47°28'31",13°36'23",2995,2136,HOHER DACHSTEIN,47.47527,13.60638,
46°26'05",11°51'03",3343,2134,LA MARMOLADA,46.43472,11.85083,
44°40'03",07°05'27",3841,2062,MONTE VISO,44.66750,7.09083,
46°22'41",13°50'13",2864,2048,TRIGLAV,46.37805,13.83694,
44°55'21",06°21'36",4102,2045,BARRE DES ECRINS,44.92250,6.36000,
47°14'58",09°20'36",2502,2015,SANTIS,47.24944,9.34333,
46°30'32",10°32'41",3905,1953,ORTLER,46.50888,10.54472,
45°43'35",10°50'38",2218,1950,MONTE BALDO,45.72638,10.84388,
45°31'05",07°16'02",4061,1888,GRAN PARADISO,45.51805,7.26722,
46°04'18",10°00'41",3050,1878,PIZZO DI COCA,46.07166,10.01138,
45°59'51",11°28'05",2336,1874,FEROZZO,45.99750,11.46805,
46°09'40",06°55'24",3257,1796,HAUTE CIME,46.16111,6.92333
