Station,Datum,Maxgemiddeld,Mingemiddeld,Maxwindstoot
260,20160101,   60,   10,   90
260,20160102,   60,   50,  110
260,20160103,   70,   40,  120
260,20160104,   60,   20,  100
260,20160105,   50,   20,   90
260,20160106,   40,   30,   60
260,20160107,   80,   30,  160
260,20160108,   70,   20,  140
260,20160109,   60,   20,  130
260,20160110,   70,   40,  130
260,20160111,   50,   30,   90
260,20160112,   70,   30,  140
260,20160113,   50,   20,  130
260,20160114,   70,   40,  160
260,20160115,   60,   10,  120
260,20160116,   70,   20,  140
260,20160117,   40,   10,   80
260,20160118,   30,   10,   50
260,20160119,   30,   10,   50
260,20160120,   30,    0,   50
260,20160121,   50,   10,   70
260,20160122,   60,   30,  110
260,20160123,   50,   20,   90
260,20160124,   50,   40,  100
260,20160125,   70,   20,  120
260,20160126,   90,   30,  170
260,20160127,  100,   50,  180
260,20160128,   60,   30,  100
260,20160129,  100,   70,  180
260,20160130,  100,   30,  180
260,20160131,   60,   30,  120
260,20160201,  110,   60,  200
260,20160202,   80,   50,  160
260,20160203,   70,   30,  130
260,20160204,   50,   10,  100
260,20160205,   60,   20,  120
260,20160206,   70,   40,  140
260,20160207,   90,   50,  170
260,20160208,  120,   70,  210
260,20160209,   90,   20,  180
260,20160210,   60,   20,  120
260,20160211,   40,   10,   80
260,20160212,   40,   20,   70
260,20160213,   60,   20,  100
260,20160214,   70,   30,  120
260,20160215,   70,   10,  130
260,20160216,   30,    0,   50
260,20160217,   40,   10,   60
260,20160218,   40,   10,   70
260,20160219,   70,   10,  120
260,20160220,   80,   50,  180
260,20160221,  100,   20,  200
260,20160222,   90,   20,  170
260,20160223,   50,   10,  110
260,20160224,   30,   10,   70
260,20160225,   40,   10,  130
260,20160226,   30,   10,   50
260,20160227,   60,   20,  110
260,20160228,   70,   20,  120
260,20160229,   50,   10,   90
260,20160301,   80,   10,  130
260,20160302,   70,   30,  200
260,20160303,   50,   10,  110
260,20160304,   80,   10,  130
260,20160305,   30,    0,   70
260,20160306,   50,   10,  110
260,20160307,   30,   10,   60
260,20160308,   40,   10,   80
260,20160309,   90,   30,  140
260,20160310,   40,   20,   70
260,20160311,   40,   10,   60
260,20160312,   40,   10,   60
260,20160313,   60,   20,  100
260,20160314,   70,   10,  110
260,20160315,   50,   10,   80
260,20160316,   80,   30,  150
260,20160317,   50,   20,   80
260,20160318,   30,   10,   70
260,20160319,   50,   30,   90
260,20160320,   40,   20,   80
260,20160321,   50,   20,  100
260,20160322,   40,   20,   80
260,20160323,   50,    0,   90
260,20160324,   60,   10,  110
260,20160325,   60,   10,  120
260,20160326,   90,   20,  150
260,20160327,   90,   30,  230
260,20160328,  110,   50,  200
260,20160329,   80,   20,  130
260,20160330,   70,   10,  130
260,20160331,   50,    0,   90
260,20160401,   30,   10,   70
260,20160402,   40,   10,   70
260,20160403,   50,   10,   70
260,20160404,   60,   10,  150
260,20160405,   50,   10,  110
260,20160406,   80,   30,  160
260,20160407,   70,   20,  120
260,20160408,   30,   10,   90
260,20160409,   50,   10,  100
260,20160410,   50,   10,   80
260,20160411,   90,   40,  130
260,20160412,   40,   10,  120
260,20160413,   50,   10,  130
260,20160414,   40,    0,   80
260,20160415,   70,   10,  130
260,20160416,   70,   20,  160
260,20160417,   50,   10,  110
260,20160418,   70,   10,  130
260,20160419,   50,   20,  110
260,20160420,   50,    0,   90
260,20160421,   50,   20,   90
260,20160422,   50,   20,   90
260,20160423,   70,   10,  130
260,20160424,   60,   20,  150
260,20160425,   60,   20,  130
260,20160426,   80,   30,  180
260,20160427,   60,   20,  120
260,20160428,   50,   10,  120
260,20160429,   70,   30,  130
260,20160430,   50,   10,   80
260,20160501,   40,   10,   80
260,20160502,   50,    0,  100
260,20160503,   50,    0,  120
260,20160504,   30,    0,   60
260,20160505,   60,   20,   90
260,20160506,   60,   10,  100
260,20160507,   60,   10,  100
260,20160508,   70,   20,  120
260,20160509,   80,   40,  120
260,20160510,   50,   10,   80
260,20160511,   50,   20,   90
260,20160512,   90,   30,  180
260,20160513,   70,   30,  120
260,20160514,   60,   20,  160
260,20160515,   60,   10,  120
260,20160516,   40,   10,   90
260,20160517,   50,    0,  100
260,20160518,   40,   10,  120
260,20160519,   40,    0,   90
260,20160520,   50,   20,  100
260,20160521,   60,   20,  120
260,20160522,   40,   20,   70
260,20160523,   60,   30,  130
260,20160524,   50,   10,  100
260,20160525,   30,    0,   40
260,20160526,   40,    0,   70
260,20160527,   50,   20,   80
260,20160528,   40,   10,   80
260,20160529,   50,   20,   90
260,20160530,   70,   30,  140
260,20160531,   50,    0,   80
260,20160601,   60,   20,  110
260,20160602,   60,   30,  120
260,20160603,   30,   20,   60
260,20160604,   50,   10,  100
260,20160605,   50,   20,   90
260,20160606,   40,   20,   70
260,20160607,   50,   20,   80
260,20160608,   60,   10,   90
260,20160609,   40,   10,   80
260,20160610,   30,   10,   60
260,20160611,   30,   10,   50
260,20160612,   20,    0,   90
260,20160613,   50,    0,  110
260,20160614,   50,   10,  110
260,20160615,   30,   10,   70
260,20160616,   30,   10,   70
260,20160617,   40,   10,   70
260,20160618,   50,    0,  110
260,20160619,   40,   20,   70
260,20160620,   60,   20,  120
260,20160621,   40,   10,   70
260,20160622,   30,   10,   80
260,20160623,   40,   10,  120
