Name,Code,TOT2012,TOT2013,TOT2014,CAP2012,CAP2013,CAP2014
Afghanistan,AFG,2050,2050,2050,1000,1000,1000
Albania,ALB,6954.2,7460.5,8155.7,4920.2,5370.5,5731.5
Algeria,DZA,108188.002,102250.881,100151.973,105544,100058,97741
American Samoa,ASM,5995,3212,2611,5975,3192,2591
Andorra,ADO,..,..,..,.,..,..
Angola,AGO,374310,406310,442379,374000,406000,442074
Antigua and Barbuda,ATG,5951,4605,3114,5951,4605,3114
Argentina,ARG,741018.42,874530.12,833943.24,738060,870705,829935
Armenia,ARM,9711,15619,18720,861,4029,4795
Aruba,ABW,138,142,142,138,142,142
Australia,AUS,242906.754,238768,229257.701,161074.054,158704.5,154344.201
Austria,AUT,3425.5,3587,3740.3,300,350,350
Azerbaijan,AZE,1277.1,1121,1183,911,796,878
Bahamas,BHS,16756.829,12765,11878.22,16756.829,12765,11878.22
Bahrain,BHR,27092.725,14976,15859.71,27091,14976,15854
Bangladesh,BGD,3261781,3410254,3548115,1535715,1550446,1591190
Barbados,BRB,1382.5,3002.5,3020.5,1372,2988,3000
Belarus,BLR,16464,14245,11424,965,697,766
Belgium,BEL,24936,25874,27007,24659,25662,26793
Belize,BLZ,177816.6,41815,83399.76,171937,34672,76187
Benin,BEN,40864,43083,48997,40364,42416,47572
Bermuda,BMU,514,461,417,514,461,417
Bhutan,BTN,80.34,72.8,137,2,3,3
Bolivia,BOL,7880,8247,8390,6820,7171,6990
Bosnia and Herzegovina,BIH,3943.3,3228.5,3702,305,305,305
Botswana,BWA,378,431,1168,378,431,1168
Brazil,BRA,1300992,1243038,1329559,820112,765286,767026
British Virgin Islands,VGB,1196,1203,1205,1196,1203,1205
Brunei Darussalam,BRN,5073,3386.85,3897.07,4523,2826,3186
Bulgaria,BGR,15556.06,21821.65,19859.795,9581,9670,8688
Burkina Faso,BFA,20602,20820,21000,20300,20500,20700
Burundi,BDI,12469.4,13397,16219,12309,13232,16054
Cabo Verde,CPV,20929,35979,35680,20929,35979,35680
Cambodia,KHM,640695,729468,745310,566695,639468,625255
Cameroon,CMR,181840,210840,225840,181000,210000,225000
Canada,CAN,1015959,1037112,1010508,832653,866924,876725
Cayman Islands,CYM,125,125,125,125,125,125
Central African Republic,CAF,32182,30180,29180,32000,30000,29000
Chad,TCD,100003,120003,120023,100000,120000,120020
Channel Islands,CHI,3837.243,3820.13,4299.75,2955,2848,2983
Chile,CHL,4084458,3334592,3820176,3008911,2288874,2592817
China,CHN,70368028.4,73671123.42,76149368.42,16425104,16557948.3,17352110.36
Colombia,COL,165275,158312,200943,75621,68914,108941
Comoros,COM,36296,43732,9255,36296,43732,9255
Congo,ZAR,220869,230283,226670,218000,227414,223800
Congo,COG,81152,73236,73572,81054,73117,73438
Costa Rica,CRI,53979,51480,42091.5,26692,19508,19500
Cote d'Ivoire,CIV,72535,79378,78650,68815,75658,74900
Croatia,HRV,74829.541,87850.24,92502.235,64389.18,75831.34,79353
Cuba,CUB,48498.2,51680.7,51537,22319,22103,22037
Curacao,CUW,24994,26139,28494,24994,26139,28494
Cyprus,CYP,5656.71,6525.1,6114.1,1323,1186,1279
Czech Republic,CZE,24796,23118.4,23947,4033,3761,3812
Denmark,DNK,537375.54,706187.2,784545.2,502790,668480,745146
Djibouti,DJI,2167,1702,2298,2167,1702,2298
Dominica,DMA,631,553,546,625,547,540
Dominican Republic,DOM,14694.8,14673,15864.5,13663,13188,13782
Ecuador,ECU,835853,846807,1031747,513398,514625,663540
Egypt,EGY,1371976,1454402,1481883,354238,356858,344792
El Salvador,SLV,55936,56659,66800,50614,53381,65137
Equatorial Guinea,GNQ,10773,8515,7615,10758,8500,7600
Eritrea,ERI,4152,4000,4000,4152,4000,4000
Estonia,EST,67268.398,70406.214,69065.575,66687,69673,68196
Ethiopia,ETH,28990,38416.3,50204.5,28952,38371,50119
Faroe Islands,FRO,437035,563049,629290,360471,487140,542836
Fiji,FJI,46023,43535,44733,45263,42863,43963
Finland,FIN,175046,181466,190695,162387,167853,177373
France,FRA,707667.5,766822.5,784992,502457.5,566108.1,580692
French Polynesia,PYF,16983.558,17066.675,16340.558,14329,14369,14254
Gabon,GAB,36548,36646,36900,36500,36600,36855
Gambia, The,GMB,36095,43759,51535,36062,43726,51500
Georgia,GEO,12720,12720,12720,12070,12070,12070
Germany,DEU,240768,260396,268775,214408,235107,242743
Ghana,GHA,400442,334463,331534,372992,301950,292989
Gibraltar,GIB,..,..,..,..,..,..
Greece,GRC,173063.668,178104.99,164811.9,62090.2,64169.2,60171.7
Greenland,GRL,222894,275432,292441,222894,275432,292441
Grenada,GRD,2258,2695,2816,2258,2695,2816
Guam,GUM,466,567,541,355,457,431
Guatemala,GTM,37734,39033,42837.5,19991,21986,22076
Guinea,GIN,132483,156211,129250,132233,155961,129000
Guinea-Bissau,GNB,6829,6707,6700,6829,6707,6700
Guyana,GUY,54105.178,49488.65,38113.496,53844,49268,37746
Haiti,HTI,17230,17230,17260,16510,16510,16510
Honduras,HND,64634,83876,83889,12198,11849,8639
Hungary,HUN,21850,21390,22789,6717,6472,7463
Iceland,ISL,1384106,1390895.2,1103629,1376675,1383843,1095196
India,IND,9086109,9200391,9602842,4872129,4645182,4718821
Indonesia,IDN,15327538.82,19357600.94,20883669.14,5727774,6056193,6508387
Iran,IRN,838651,884487,947354,542137,559162,627180
Iraq,IRQ,76117,70913,85625,51077,56853,59000
Ireland,IRL,341528.01,310148.2,337624.2,305426,275950,306424
Isle of Man,IMY,6172,5745,3755,6172,5745,3755
Israel,ISR,23566.4,24234.6,22322,3224,1983,2156
Italy,ITA,365048.4,340537.7,344584,202430.4,177917.7,182034
Jamaica,JAM,14938.05,18748.9,15606,14289,17913,14906
Japan,JPN,4823791.391,4767938.51,4773491.587,3749970.31,3740753.425,3753071.502
Jordan,JOR,1248,1480,1758,648,760,873
Kazakhstan,KAZ,37677,35503,37547,36939,34692,37137
Kenya,KEN,180807,187203,192483,158919,163302,168385
Kiribati,KIR,86070,83792,120290,77779,81531,116708
Korea,PRK,721850,717350,734450,213500,209000,226000
Korea,KOR,3185789,3135250,3304772,1676563,1601804,1737330
Kosovo,KSV,..,..,..,..,..,..
Kuwait,KWT,4339,4936,4897,4030,4633,4600
Kyrgyz Republic,KGZ,387,420,804.93,90,120,227
Lao PDR,LAO,140841,148165,150560,38946,40165,42200
Latvia,LVA,95066.54,116717.21,120252.28,94492,116074,119566
Lebanon,LBN,4480,4380,4123,3200,3100,2998
Lesotho,LSO,450.37,550.43,952.53,50,50,52
Liberia,LBR,9530,9530,9530,9500,9500,9500
Libya,LBY,35014,36014,25014,35004,36004,25004
Liechtenstein,LIE,..,..,..,..,..,..
Lithuania,LTU,70551.96,95081.88,153902.8,66970,90871,150067
Luxembourg,LUX,..,..,..,..,..,..
Macao SAR, China,MAC,1500,1500,1500,1500,1500,1500
Macedonia, FYR,MKD,1555,1674,1496,249,334,282
Madagascar,MDG,128062.5,117146,112612,118075,104597,95779
Malawi,MWI,128624,115953,120870.56,125392,112248,116129
Malaysia,MYS,2116236.9,2023486.795,1989164.925,1481361,1492785,1468151
Maldives,MDV,120000,129841,128683,120000,129841,128683
Mali,MLI,72216,101558.25,81953,71229,99353,80000
Malta,MLT,6537,7622,7321,2201,2356,2404
Marshall Islands,MHL,75356,80616,78713.61,75356,80616,78713
Mauritania,MRT,437709,387833,378339,437709,387833,378339
Mauritius,MUS,6897,8098,14398.5,6383,7673,13642
Mexico,MEX,1724944.843,1798209.29,1722664.503,1581198.203,1626417.147,1528434.746
