Series Name,Series Code,Country Name,Country Code,2013 [YR2013]
Land under cereal production (hectares),AG.LND.CREL.HA,Afghanistan,AFG,3182922
Land under cereal production (hectares),AG.LND.CREL.HA,Albania,ALB,142000
Land under cereal production (hectares),AG.LND.CREL.HA,Algeria,DZA,2709432
Land under cereal production (hectares),AG.LND.CREL.HA,American Samoa,ASM,..
Land under cereal production (hectares),AG.LND.CREL.HA,Andorra,ADO,..
Land under cereal production (hectares),AG.LND.CREL.HA,Angola,AGO,2056204
Land under cereal production (hectares),AG.LND.CREL.HA,Antigua and Barbuda,ATG,40
Land under cereal production (hectares),AG.LND.CREL.HA,Argentina,ARG,10962049
Land under cereal production (hectares),AG.LND.CREL.HA,Armenia,ARM,184745
Land under cereal production (hectares),AG.LND.CREL.HA,Aruba,ABW,..
Land under cereal production (hectares),AG.LND.CREL.HA,Australia,AUS,17870632
Land under cereal production (hectares),AG.LND.CREL.HA,Austria,AUT,800939
Land under cereal production (hectares),AG.LND.CREL.HA,Azerbaijan,AZE,1061005
Land under cereal production (hectares),AG.LND.CREL.HA,"Bahamas, The",BHS,95
Land under cereal production (hectares),AG.LND.CREL.HA,Bahrain,BHR,..
Land under cereal production (hectares),AG.LND.CREL.HA,Bangladesh,BGD,12451033
Land under cereal production (hectares),AG.LND.CREL.HA,Barbados,BRB,120
Land under cereal production (hectares),AG.LND.CREL.HA,Belarus,BLR,2404759
Land under cereal production (hectares),AG.LND.CREL.HA,Belgium,BEL,336226
Land under cereal production (hectares),AG.LND.CREL.HA,Belize,BLZ,30959
Land under cereal production (hectares),AG.LND.CREL.HA,Benin,BEN,1169330
Land under cereal production (hectares),AG.LND.CREL.HA,Bermuda,BMU,..
Land under cereal production (hectares),AG.LND.CREL.HA,Bhutan,BTN,54297
Land under cereal production (hectares),AG.LND.CREL.HA,Bolivia,BOL,1095876
Land under cereal production (hectares),AG.LND.CREL.HA,Bosnia and Herzegovina,BIH,303586
Land under cereal production (hectares),AG.LND.CREL.HA,Botswana,BWA,88982
Land under cereal production (hectares),AG.LND.CREL.HA,Brazil,BRA,20906133
Land under cereal production (hectares),AG.LND.CREL.HA,British Virgin Islands,VGB,..
Land under cereal production (hectares),AG.LND.CREL.HA,Brunei Darussalam,BRN,1800
Land under cereal production (hectares),AG.LND.CREL.HA,Bulgaria,BGR,2006986
Land under cereal production (hectares),AG.LND.CREL.HA,Burkina Faso,BFA,4210656
Land under cereal production (hectares),AG.LND.CREL.HA,Burundi,BDI,216639
Land under cereal production (hectares),AG.LND.CREL.HA,Cabo Verde,CPV,31727
Land under cereal production (hectares),AG.LND.CREL.HA,Cambodia,KHM,3310000
Land under cereal production (hectares),AG.LND.CREL.HA,Cameroon,CMR,1869794
Land under cereal production (hectares),AG.LND.CREL.HA,Canada,CAN,15938100
Land under cereal production (hectares),AG.LND.CREL.HA,Cayman Islands,CYM,..
Land under cereal production (hectares),AG.LND.CREL.HA,Central African Republic,CAF,155200
Land under cereal production (hectares),AG.LND.CREL.HA,Chad,TCD,2542000
Land under cereal production (hectares),AG.LND.CREL.HA,Channel Islands,CHI,..
Land under cereal production (hectares),AG.LND.CREL.HA,Chile,CHL,579184
Land under cereal production (hectares),AG.LND.CREL.HA,China,CHN,93844960
Land under cereal production (hectares),AG.LND.CREL.HA,Colombia,COL,1170079
Land under cereal production (hectares),AG.LND.CREL.HA,Comoros,COM,25500
