Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,10.0,"Short, Comedy, Fantasy","George Miller, Zeeq, Artemis Holdenberry, Bloody Hairy",12
Game of Thrones,9.5,"Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",56
Breaking Bad,9.5,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",49
The Wire,9.4,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",59
TVF Pitchers,9.4,"Comedy, Drama","Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Aditya Roy Kapoor",40
Rick and Morty,9.3,"Animation, Adventure, Comedy","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",22
Westworld,9.2,"Drama, Sci-Fi, Western","Evan Rachel Wood, Thandie Newton, Jeffrey Wright, James Marsden",60
Sherlock,9.2,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",88
The Sopranos,9.2,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli",55
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",23
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama","Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant",80
Sarabhai vs Sarabhai,9.2,Comedy,"Satish Shah, Ratna Pathak, Sumeet Raghvan, Rupali Ganguly",30
True Detective,9.1,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",55
Firefly,9.1,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",44
One Punch Man: Wanpanman,9.1,"Animation, Action, Comedy","Max Mittelman, Makoto Furukawa, Kaito Ishikawa, Zach Aguilar",24
Last Week Tonight with John Oliver,9.1,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal, Paul McGinnis",30
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure","Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Pak",24
TVF Tripling,9.1,Drama,"Sumeet Vyas, Maanvi Gagroo, Amol Parashar, Kunaal Roy Kapur",30
Stranger Things,9.0,"Drama, Horror, Mystery","Dacre Montgomery, Winona Ryder, David Harbour, Finn Wolfhard",55
Friends,9.0,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",22
House of Cards,9.0,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",51
Fargo,9.0,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",53
